True_Model,Fit_Model,KL,ISE,MSE,Rank_KL,Rank_ISE,Rank_MSE
GaN,GaN,0.014481307,0.001235382,1.511348568,2.408134921,2.320238095,2.505555556
GaN,IGaN,0.016199413,0.001415081,1.5114629,2.290079365,2.212301587,2.462103175
GaN,IGauN,0.013737299,0.001204608,1.51135923,2.633234127,2.737103175,2.499702381
GaN,RIGauN,0.013419088,0.001171691,1.511334872,2.668551587,2.730357143,2.532638889
IGaN,GaN,0.022418191,0.003126361,1.513064114,1.647222222,1.22281746,2.37281746
IGaN,IGaN,0.020413011,0.002344373,1.512780275,2.898809524,3.31140873,2.55734127
IGaN,IGauN,0.014306494,0.001989995,1.512697097,2.941468254,3.153869048,2.575396825
IGaN,RIGauN,0.016182066,0.002298479,1.512815106,2.5125,2.311904762,2.494444444
IGauN,GaN,0.016198418,0.001571143,1.509113142,2.093055556,2.083035714,2.446230159
IGauN,IGaN,0.015578203,0.001805839,1.509117439,2.396031746,2.075297619,2.474107143
IGauN,IGauN,0.012859065,0.001402528,1.508976107,2.800496032,2.952777778,2.546031746
IGauN,RIGauN,0.012978365,0.001355109,1.508987042,2.710416667,2.888888889,2.533630952
RIGauN,GaN,0.014824636,0.001258059,1.506791391,2.369345238,2.536309524,2.512202381
RIGauN,IGaN,0.016450324,0.001615094,1.506985624,2.214484127,1.768948413,2.424801587
RIGauN,IGauN,0.013561941,0.001275029,1.506782265,2.675396825,2.721130952,2.520238095
RIGauN,RIGauN,0.013199503,0.001208863,1.506750696,2.74077381,2.973611111,2.542757937
